item(serverctxbasicrobot,nostate,msg(start,dispatch,serverctxbasicrobot,serverctxbasicrobot,startQakContextServer,3)).
msg(walkerstarted,event,waiterwalker,none,walkerstarted(0),11)
msg(step,request,waiterwalker,basicrobot,step(350),12)
msg(step,request,waiterwalker,basicrobot,step(350),13)
msg(step,request,waiterwalker,basicrobot,step(350),14)
msg(step,request,waiterwalker,basicrobot,step(350),15)
msg(step,request,waiterwalker,basicrobot,step(350),17)
msg(step,request,waiterwalker,basicrobot,step(350),21)
msg(step,request,waiterwalker,basicrobot,step(350),22)
msg(step,request,waiterwalker,basicrobot,step(350),24)
msg(step,request,waiterwalker,basicrobot,step(350),27)
msg(step,request,waiterwalker,basicrobot,step(350),28)
msg(step,request,waiterwalker,basicrobot,step(350),30)
msg(step,request,waiterwalker,basicrobot,step(350),31)
msg(step,request,waiterwalker,basicrobot,step(350),36)
msg(step,request,waiterwalker,basicrobot,step(350),37)
