item(serverctxbasicrobot,nostate,msg(start,dispatch,serverctxbasicrobot,serverctxbasicrobot,startQakContextServer,3)).
msg(walkerstarted,event,waiterwalker,none,walkerstarted(0),10)
msg(step,request,waiterwalker,basicrobot,step(355),12)
msg(step,request,waiterwalker,basicrobot,step(355),13)
msg(step,request,waiterwalker,basicrobot,step(355),14)
msg(step,request,waiterwalker,basicrobot,step(355),15)
msg(step,request,waiterwalker,basicrobot,step(355),17)
msg(step,request,waiterwalker,basicrobot,step(355),21)
msg(step,request,waiterwalker,basicrobot,step(355),22)
msg(step,request,waiterwalker,basicrobot,step(355),24)
msg(step,request,waiterwalker,basicrobot,step(355),27)
msg(step,request,waiterwalker,basicrobot,step(355),28)
msg(step,request,waiterwalker,basicrobot,step(355),30)
msg(step,request,waiterwalker,basicrobot,step(355),31)
msg(step,request,waiterwalker,basicrobot,step(355),36)
msg(step,request,waiterwalker,basicrobot,step(355),37)
